id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum,con,hip
19730,27256.0,1336.0,,Alp Ret,,4.240404,-62.473858,49.554,3.33,G7III,Alp,,99.54054173515264,Ret,19780.0
17398,23817.0,1175.0,Gl 154.2,Bet Ret,,3.736593,-64.806903,29.8597,3.84,K0IV SB,Bet,,22.59435770220978,Ret,17440.0
18550,25422.0,1247.0,,Del Ret,,3.979095,-61.400185,161.2903,4.56,M2III,Del,,339.7817118270833,Ret,18597.0
19871,27442.0,1355.0,Gl 167.3,Eps Ret,,4.274738,-59.302156,18.2382,4.44,K2IV,Eps,,4.8528850016212095,Ret,19921.0
16187,21291.0,1035.0,,,,3.484482,59.94033,595.2381,4.21,B9Ia,,,6385.574850788397,Cam,16228.0
22730,30614.0,1542.0,,9Alp Cam,,4.900836,66.342678,100000.0,4.26,O9.5Ia SB:,Alp,9.0,172186857.49860096,Cam,22783.0
17917,23401.0,1148.0,,Gam Cam,,3.839302,71.332266,110.011,4.59,A2IVn,Gam,,153.74464569916873,Cam,17959.0
25047,33564.0,1686.0,Gl 196,,,5.376036,79.231149,20.8855,5.08,F6V,,,3.528580258285269,Cam,25110.0
25853,37763.0,1953.0,,Gam Men,,5.531318,-76.340964,31.3578,5.18,K4III,Gam,,7.25771650267428,Men,25918.0
21896,30612.0,1541.0,,Mu  Men,,4.717764,-70.931027,150.6024,5.53,B9IV,Mu,,121.22717925364972,Men,21949.0
26386,37202.0,1910.0,,123Zet Tau,Tianguan,5.627413,21.142549,136.4256,2.97,B4IIIp,Zet,123.0,1050.9934271862176,Tau,26451.0
21368,29139.0,1457.0,Gl 171.1A,87Alp Tau,Aldebaran,4.598677,16.509301,20.4332,0.87,K5III,Alp,87.0,163.23000728189953,Tau,21421.0
20842,28319.0,1412.0,,78The2Tau,Chamukuy,4.477705,15.870883,46.1042,3.4,A7III,The-2,78.0,80.83510373900673,Tau,20894.0
20155,27371.0,1346.0,,54Gam Tau,Prima Hyadum,4.329889,15.627642,49.5295,3.65,G8III,Gam,54.0,74.06277836681546,Tau,20205.0
18677,25204.0,1239.0,,35Lam Tau,,4.011338,12.490347,148.368,3.41,B3V + A,Lam,35.0,829.468695095263,Tau,18724.0
15861,21120.0,1030.0,,1Omi Tau,,3.413554,9.02887,89.2061,3.61,G8III,Omi,1.0,249.344618809783,Tau,15900.0
25364,35497.0,1791.0,,112Bet Tau,Elnath,5.438198,28.60745,41.0509,1.65,B7III,Bet,112.0,321.21809339879854,Tau,25428.0
21828,29763.0,1497.0,,94Tau Tau,,4.704084,22.956926,122.1001,4.27,B3V,Tau,94.0,254.4485615146634,Tau,21881.0
20837,28305.0,1409.0,,74Eps Tau,Ain,4.476943,19.180431,44.964,3.53,K0III,Eps,74.0,68.17105263058534,Tau,20889.0
20597,27962.0,1389.0,,68Del3Tau,,4.424828,17.92791,45.5373,4.3,A2IV,Del-3,68.0,34.419138826842904,Tau,20648.0
20405,27697.0,1373.0,,61Del1Tau,Secunda Hyadum,4.382247,17.542514,47.7099,3.77,G8III,Del-1,61.0,61.54602373713163,Tau,20455.0
17805,23850.0,1178.0,,27    Tau,Atlas,3.819373,24.053415,117.2333,3.62,B8III,,27.0,426.5795188015925,Tau,17847.0
19843,27290.0,1338.0,Gl 167.1,Gam Dor,,4.267097,-51.486648,20.4625,4.26,F4III,Gam,,7.211074791828994,Dor,19893.0
21228,29305.0,1465.0,,Alp Dor,,4.566598,-55.044975,51.7063,3.3,A0V:,Alp,,111.48078033638414,Dor,21281.0
26004,37350.0,1922.0,,Bet Dor,,5.560421,-62.489825,308.642,3.76,F6Ia,Bet,,2598.962421108662,Dor,26069.0
27821,40409.0,2102.0,Gl 224.1,,,5.901658,-63.089627,26.2467,4.65,K1III/IV,,,8.279421637123338,Dor,27890.0
27034,39014.0,2015.0,,Del Dor,,5.746223,-65.735526,45.8716,4.34,A7V,Del,,33.666657436862266,Dor,27100.0
21808,29992.0,1503.0,Gl 176.1,Bet Cae,,4.700965,-37.144297,28.6697,5.04,F3V,Bet,,6.899220098440472,Cae,21861.0
