,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
26004,26069.0,37350.0,1922.0,,Bet Dor,,5.560421,-62.489825,308.642,1.06,12.56,7.0,3.76,-3.687,F6Ia,0.64,16.370231,141.620663,-273.743541,7.2e-07,2.002e-05,2.33e-06,1.4557149089664687,-1.0906531991897674,5.139025e-09,6.0892598e-08,Bet,,Dor,1,26004,,2598.962421108662,Bet,4.087,3.407
26028,26093.0,36653.0,1864.0,,35    Ori,,5.565079,14.305578,136.7989,-1.96,-5.74,19.0,5.6,-0.08,B3V,-0.118,15.060643,131.698816,33.802141,3.54e-06,1.949e-05,1.11e-06,1.4569342478544538,0.2496794395023312,-9.5023481e-09,-2.7828305e-08,,35.0,Ori,1,26028,,93.75620069258802,,,
26061,26126.0,36777.0,1872.0,,38    Ori,,5.571326,3.766895,84.6024,-29.35,-15.82,-4.0,5.32,0.683,A2V,0.051,9.454252,83.888521,5.558153,1.155e-05,-4.98e-06,-6.74e-06,1.458569687937867,0.065744721896665,-1.422928152e-07,-7.6697524e-08,,38.0,Ori,1,26061,,46.43014072818033,,,
26111,26176.0,36822.0,1876.0,,37Phi1Ori,,5.580344,9.489579,333.3333,-1.24,-2.49,33.0,4.39,-3.224,B0IV...,-0.157,36.048184,326.789901,54.956117,5.71e-06,3.353e-05,1.6e-06,1.4609305463977158,0.165624401371225,-6.0116896e-09,-1.207186e-08,Phi-1,37.0,Ori,1,26111,,1696.680232346464,,,
26142,26207.0,36861.0,1879.0,,39Lam Ori,Meissa,5.585633,9.934158,336.7003,-1.03,-1.86,34.0,3.39,-4.246,O...,-0.16,35.907504,329.702779,58.086365,5.44e-06,3.439e-05,3.01e-06,1.462315173306167,0.1733837720965775,-4.9935809e-09,-9.017534e-09,Lam,39.0,Ori,1,26142,,4349.106072324538,,,
26155,26220.0,37020.0,1893.0,,41The1Ori,,5.587728,-5.387315,100000.0,-0.92,0.13,32.0,4.98,-15.02,O7,,10724.717134,98978.942834,-9388.789872,0.00044754,-9.77e-06,5.967e-05,1.4628638829724987,-0.0940263844852512,-4.4602859e-09,6.30257e-10,The-1,41.0,Ori,1,26155,,88715601.20379598,V1016,5.551,4.741
26156,26221.0,37022.0,1895.0,,41The1Ori,,5.587907,-5.389696,100000.0,-0.92,0.13,33.0,5.13,-14.87,O6pe,0.02,10720.04586,98979.05637,-9392.92691,0.00044765,-8.73e-06,5.957e-05,1.462910652972499,-0.0940679384852512,-4.4602859e-09,6.30257e-10,The-1,41.0,Ori,1,26156,,77268058.50957021,,5.22,5.08
26159,26224.0,37023.0,1896.0,,41The1Ori,,5.588111,-5.38768,100000.0,-0.92,0.13,31.0,6.71,-13.29,B0.5Vp...,0.08,10714.809969,98979.955565,-9389.424854,0.00044743,-1.074e-05,5.977e-05,1.4629639109724988,-0.0940327624852512,-4.4602859e-09,6.30257e-10,The-1,41.0,Ori,1,26159,,18030177.4085957,,7.504,6.574
26170,26235.0,37041.0,1897.0,,43The2Ori,,5.589695,-5.41606,473.9336,1.68,1.5,36.0,4.98,-3.399,O9.5Vpe,-0.097,50.584197,469.098632,-44.733371,1.3e-07,3.718e-05,-4e-08,1.463378638267611,-0.0945280733682062,8.1448698e-09,7.272205e-09,The-2,43.0,Ori,1,26170,,1993.425456498093,,,
26172,26237.0,37018.0,1892.0,,42    Ori,,5.589768,-4.838358,271.0027,4.29,-7.15,30.0,4.58,-2.585,B2III...,-0.183,28.945888,268.481412,-22.857731,-2.41e-06,3.021e-05,-1.195e-05,1.4633977899869353,-0.0844452743115574,2.07985069e-08,-3.4664178e-08,,42.0,Ori,1,26172,,941.8895965228418,,,
