id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum,con,hip
60554,108381.0,4737.0,,15Gam Com,,12.448966,28.268423,51.2821,4.35,K2IIICN+...,Gam,15.0,41.68693834703355,Com,60742.0
64189,114710.0,4983.0,Gl 502,43Bet Com,,13.197904,27.878183,9.1291,4.23,G0V,Bet,43.0,1.4750271017597587,Com,64394.0
64037,114378.0,4968.0,Gl 501A,42Alp Com,Diadem,13.166469,17.529431,17.8253,4.32,F5V,Alp,42.0,5.176068319505676,Com,64241.0
61124,109358.0,4785.0,Gl 475,8Bet CVn,Chara,12.562411,41.35748,8.4395,4.24,G0V,Bet,8.0,1.2496833972112191,CVn,61317.0
62925,112413.0,4915.0,,12Alp2CVn,Cor Caroli,12.933807,38.31838,35.1989,2.89,A0spe...,Alp-2,12.0,75.37025766884257,CVn,63125.0
67246,120477.0,5200.0,,5Ups Boo,,13.824623,15.797905,80.7754,4.05,K5IIIvar,Ups,5.0,136.26991969948688,Boo,67459.0
67711,121370.0,5235.0,Gl 534,8Eta Boo,Muphrid,13.911411,18.397717,11.396,2.68,G0IV,Eta,8.0,9.585173976856456,Boo,67927.0
69451,124897.0,5340.0,Gl 541,16Alp Boo,Arcturus,14.26103,19.18241,11.2575,-0.05,K2IIIp,Alp,16.0,115.55799554021291,Boo,69673.0
70828,127665.0,5429.0,,25Rho Boo,,14.5305,30.371437,49.0918,3.57,K3III,Rho,25.0,78.34296427662116,Boo,71053.0
70851,127762.0,5435.0,,27Gam Boo,Seginus,14.534636,38.308253,26.6099,3.04,A7IIIvar,Gam,27.0,37.49730022454834,Boo,71075.0
73327,133208.0,5602.0,,42Bet Boo,Nekkar,15.032436,40.390566,69.0608,3.49,G8III,Bet,42.0,166.87835113653907,Boo,73555.0
74438,135722.0,5681.0,,49Del Boo,,15.258376,33.314833,37.3413,3.46,G8III,Del,49.0,50.164905677322295,Boo,74666.0
71879,129988.0,5505.0,,36Eps Boo,Izar,14.749784,27.074222,62.1118,2.35,A0,Eps,36.0,385.8335599053513,Boo,72105.0
71569,129246.0,5477.0,,30Zet Boo,,14.68582,13.7283,53.8793,3.78,A3IVn,Zet,30.0,77.76783344557053,Boo,71795.0
74595,135379.0,5670.0,Gl 580.1,Bet Cir,,15.291917,-58.801208,30.553,4.07,A3V,Bet,,19.14255925021086,Cir,74824.0
71682,128898.0,5463.0,Gl 560A,Alp Cir,,14.708492,-64.975138,16.57,3.18,F1Vp,Alp,,12.78792262935846,Cir,71908.0
75094,136415.0,5704.0,,Gam Cir,,15.389625,-59.320787,137.5516,4.48,B5III + F8,Gam,,265.9500032721518,Cir,75323.0
72144,129078.0,5470.0,,Alp Aps,,14.797701,-79.044751,136.9863,3.83,K5III,Alp,,479.95442493194446,Aps,72370.0
80819,147675.0,6102.0,Gl 626.1,Gam Aps,,16.557609,-78.897148,47.9157,3.86,K0IV SB,Gam,,57.12155216230428,Aps,81065.0
81602,149324.0,6163.0,,Bet Aps,,16.718126,-77.517435,48.1232,4.23,K0III,Bet,,41.00152405066133,Aps,81852.0
71634,129056.0,5469.0,,Alp Lup,,14.698823,-47.3882,142.4501,2.3,B1.5III,Alp,,2124.222477388697,Lup,71860.0
73046,132058.0,5571.0,,Bet Lup,,14.975537,-43.13396,117.3709,2.68,B2III,Bet,,1016.716800466376,Lup,73273.0
74912,136298.0,5695.0,,Del Lup,,15.356201,-40.647518,271.0027,3.22,B1.5IV,Del,,3296.09712177458,Lup,75141.0
76065,138690.0,5776.0,,Gam Lup,,15.585681,-41.166757,129.0323,2.8,B2IV,Gam,,1099.5120668793495,Lup,76297.0
76317,139127.0,5797.0,,Ome Lup,,15.634232,-42.567348,67.0241,4.34,K4.5III,Ome,,71.84557087925968,Lup,76552.0
74167,134505.0,5649.0,GJ 9512A,Zet Lup,,15.20476,-52.099247,35.9712,3.41,G8III,Zet,,48.75284901033863,Lup,74395.0
77398,141556.0,5883.0,,5Chi Lup,,15.849316,-33.627165,59.8444,3.97,B9.5III-IV,Chi,5.0,80.53784411990665,Lup,77634.0
78148,143118.0,5948.0,,Eta Lup,,16.002036,-38.396706,135.5014,3.42,B2.5IV,Eta,,685.488226452662,Lup,78384.0
78730,144415.0,5991.0,,,,16.121168,-36.755676,54.7945,5.72,F0/F2V,,,13.477210138513502,Lup,78970.0
74948,136422.0,5705.0,,Phi1Lup,,15.36344,-36.261376,84.317,3.57,K5III,Phi-1,,231.20647901755964,Lup,75177.0
70353,126354.0,5396.0,,Tau2Lup,,14.436336,-45.379276,97.8474,4.33,A7:+...,Tau-2,,154.59662193866745,Lup,70576.0
71310,128345.0,5453.0,,Rho Lup,,14.631454,-49.425828,96.8992,4.05,B5V,Rho,,196.24563241736897,Lup,71536.0
73486,133216.0,5603.0,,20Sig Lib,Brachium,15.067839,-25.281965,88.4173,3.25,M3/M4III,Sig,20.0,341.3500729493114,Lib,73714.0
72396,130841.0,5531.0,Gl 564.1,9Alp2Lib,Zubenelgenubi,14.847977,-16.041778,23.2396,2.75,A3IV,Alp-2,9.0,37.35940922587999,Lib,72622.0
74556,135742.0,5685.0,,27Bet Lib,Zubeneschamali,15.283449,-9.382917,56.7537,2.61,B8V,Bet,27.0,253.51286304979072,Lib,74785.0
76100,138905.0,5787.0,GJ 3912,38Gam Lib,Zubenelhakrabi,15.592105,-14.789537,50.025,3.91,K0III,Gam,38.0,59.48397740692212,Lib,76333.0
77617,142198.0,5908.0,,46The Lib,,15.897093,-16.729293,51.6529,4.13,K0III,The,46.0,51.76068319505679,Lib,77853.0
82022,150798.0,6217.0,,Alp TrA,Atria,16.811077,-69.027715,119.7605,1.91,K2IIb-IIIa,Alp,,2151.7905703397573,TrA,82273.0
74717,135382.0,5671.0,,Gam TrA,,15.315181,-68.679545,56.3698,2.87,A1V,Gam,,196.7886289706845,TrA,74946.0
77716,141891.0,5897.0,Gl 601A,Bet TrA,,15.919083,-63.430727,12.3778,2.83,F2III,Bet,,9.84464363980378,TrA,77952.0
77280,141513.0,5881.0,,32Mu  Ser,,15.827002,-3.430208,52.0021,3.54,A0V,Mu,32.0,90.36494737223012,Ser,77516.0
77386,141795.0,5892.0,GJ 3921,37Eps Ser,,15.846935,4.47773,21.5983,3.71,A2m,Eps,37.0,13.32907464231338,Ser,77622.0
76835,140573.0,5854.0,Gl 596.2,24Alp Ser,Unukalhai,15.737798,6.425627,22.6757,2.63,K2III,Alp,24.0,39.73745050614631,Ser,77070.0
